2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.Prosody Starting power-on self test.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.Prosody Power-on self test complete.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Starting power-on self test.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Power-on self test complete.
2017-07-20 01:39:46,156 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2017-07-20 01:39:47,859 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-07-20 01:39:47,859 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-07-20 01:39:47,859 [AWT-EventQueue-0] INFO  marytts.main Startup complete.
2017-07-20 01:39:47,859 [AWT-EventQueue-0] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "dfki-poppy-hsmm", audio "WAVE")
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 Handling request using the following modules:
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: TextToMaryXML
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 Handling request using the following modules:
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-07-20 01:39:47,875 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: JTokeniser
2017-07-20 01:39:47,890 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: Preprocess
2017-07-20 01:39:47,890 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2017-07-20 01:39:47,906 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: JPhonemiser
2017-07-20 01:39:47,906 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: Prosody
2017-07-20 01:39:47,906 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: PronunciationModel
2017-07-20 01:39:47,906 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: AcousticModeller
2017-07-20 01:39:47,953 [AWT-EventQueue-0] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2017-07-20 01:39:47,953 [AWT-EventQueue-0] INFO  marytts.PStream Global variance optimization
2017-07-20 01:39:47,953 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-07-20 01:39:47,953 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2017-07-20 01:39:47,953 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: Synthesis
2017-07-20 01:39:48,000 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2017-07-20 01:39:48,000 [AWT-EventQueue-0] INFO  marytts.HTSEngine Using prosody from acoustparams.
2017-07-20 01:39:48,000 [AWT-EventQueue-0] INFO  marytts.HTSEngine Number of models in sentence numModel=25  Total number of states numState=125
2017-07-20 01:39:48,000 [AWT-EventQueue-0] INFO  marytts.HTSEngine Total number of frames=488  Number of voiced frames=266
2017-07-20 01:39:48,015 [AWT-EventQueue-0] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2017-07-20 01:39:48,015 [AWT-EventQueue-0] INFO  marytts.PStream Global variance optimization
2017-07-20 01:39:48,015 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=2
2017-07-20 01:39:48,031 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2017-07-20 01:39:48,047 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-07-20 01:39:48,047 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=21
2017-07-20 01:39:48,062 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-07-20 01:39:48,062 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=21
2017-07-20 01:39:48,062 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-07-20 01:39:48,062 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=21
2017-07-20 01:39:48,062 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=19
2017-07-20 01:39:48,078 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=16
2017-07-20 01:39:48,078 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=3
2017-07-20 01:39:48,078 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-07-20 01:39:48,078 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=21
2017-07-20 01:39:48,078 [AWT-EventQueue-0] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
